Author,Rating,Review Text,Review Text Length,Word Count,Avg Word Length,Rating Binary,Sentiment Polarity,Sentiment
Michael,1,purol far worst courier servic unless absolut need use servic better look elsewher courier never bother deliv simpl kpi visit address sooner leav sooner finish job need get signatur live apart build bad luck courier wont wast preciou time wait go downstair leav sticker make job next day custom support wont bother help,319,53,5.037735849056604,0,-0.16060606060606059,neutral
Eric L,3,way back isl freak small,24,5,4.0,0,-0.125,neutral
Jennifer Turley,1,horribl servic time go im complet ignor staff track receipt given want leav packag counter anyon take sever time packag deliv lost stolen suspect,145,24,5.083333333333333,0,0.0,neutral
Robbie Creswell,5,,0,0,0.0,1,0.0,neutral
Shreedhar Bhat,3,drive km side collect courier drop offic hour upon request deliveri told get estim time tri redeliv pretti wide window wait your work also pickup avail saturday deliveri disappoint star custom servic call apologet provid best option could time pleas improv deliveri method hope come back give better rate improv seen ps go respond system gener respons read comment,364,59,5.186440677966102,0,0.35,positive
Chris Salazar,1,receiv door knocker parcel would readi pu pm show avail hung around till pm tri avail receiv text purol state parcel readi pu dont normal write review good bad indiffer need call busi drop bsll hard super frustrat given drove min home grab need work crummi servic second time sound go way pay extra avoid servic,311,56,4.571428571428571,0,0.07395833333333335,neutral
Adam Smith,1,deliveri servic refus deliv apart dont even leav deliveri slip privat area slap lobbi door alway pickup wildli way ship hub cancel order attempt ship sinc ill drive pick anyway,176,30,4.9,0,-0.5,negative
Robin G,1,deliv packag random address barri even right address end roger commun im current bill roger howev call roger deal help great got new modem howev know still modem random person sign wasnt end random address strongli suggest use amazon up even canada post better custom servic actual answer sever disappoint never use purol help first time happen compani whole,358,59,5.084745762711864,0,0.06109799291617473,neutral
Naomi Ann,1,deliveri guy tri contact ever deliv packag still continu say yet went pick packag warehous told first time ive problem worst definit wont use,141,24,4.916666666666667,0,-0.375,negative
piyush sawani,1,difficult find drop box leav thought let check back build direct noth drop parcel mani big parcel afraid someon steal tho made sure car seen camera problem receiv dropoff anyth goe miss,185,32,4.8125,0,-0.08333333333333333,neutral
Matias Contreras,1,expect packag arriv oct got notif indic sever fail deliveri attempt work home peopl live hous definit one even tri deliv packag request know pickup locat go rd time nobodi give info packag keep go deliveri day without abl pick item nobodi show place driver even bother leav deliveri notic clue what happen lastli custom servic repres susan brennan even pay attent situat copiedpast templat answer indic nobodi answer door driver arriv time definit terribl servic,462,76,5.092105263157895,0,-0.18181818181818182,neutral
Ashley Pugh,3,issu resolv week drop packag im glad resolv think purol need look follow issu drop packag open drop box allow see peopl packag could easili lead theft packag insid packag didnt show scan anywher didnt know made destin today two week later amazon return monitor return page amazon app mayb look track number putol websit would show statu that fault check websit glad packag return success though,394,67,4.895522388059701,0,0.26,positive
Haylan Riley,5,dropbox mail could access,25,4,5.5,1,0.0,neutral
Saumya Shah (Sam),1,busi day none pre paid shipment pick per track number wonder ever track stolen overfil drop box,95,17,4.647058823529412,0,0.0,neutral
Abubakr Mossa,1,happen expect shipment compani need sit doorstep without blink catch shipment wrote review miss mani deliveri without real attempt deliv everytim buy product say purol deliv expect miss deliveri date realli need improv deliveri protocol spend second attempt deliveri,266,39,5.846153846153846,0,0.1,neutral
Jigar Maheshwari,5,purol big space load unload courier deliveri product variou compani work cultur realli good hire also frequent good park area greeneri near bombardi domest airport montreal howev food store avail nearbi go bit far get good food,227,37,5.162162162162162,1,0.3428571428571429,positive
David,5,easi pick drop locat big park lot bu stop right front safe walk entranc hand sanit entranc counter write prepar pakag comput printer avail client small batteri recycl box locat,176,30,4.9,1,0.13392857142857142,neutral
Shweta Suryavanshi,5,good locat huge facil staff help lot park spot avail quick respons worker knowledg avail servic,95,16,5.0,1,0.4777777777777778,positive
Betty Gagnon,1,order someth refriger clearli indic everywher dont bother keep refriger top delay transit deliveri everyth lost,111,16,6.0,0,0.5,positive
Z C,1,read review see one experienc deliveri issu good job purol compani never chang despit home time courier claim receiv unavail receiv packag even rearrang schedul ensur would avail packag sent purol offic howev sometim control courier servic use deliveri give feedback seller sure,278,43,5.488372093023256,0,0.6,positive
Sebastien Prosper,5,second time store gotten great servic twice ladi behind desk effici will help short hair red black thank help get packag sent,125,22,4.7272727272727275,1,0.038888888888888896,neutral
Mary Blume,1,could give star would worst deliveri experi life first deliveri attempt claim didnt unit number refus deliveri check address resubmit left instruct page request deliv live apart build without doorman second time claim home uh follow instruct attempt contact tell go pick stuff fine woman counter rude worst custom servic ive ever receiv show track number id leas sinc requir legal proof address refus give packag sinc handwrit leas aka signatur polici beyond ridicul refus give packag unless show credit card statement bank inform refus beyond privat inform im show random person post offic said didnt option set redeliveri fine stay home work today get notif attempt deliveri werent home home day liter feel like packag held hostag deliv thing hard hold custom servic hour ever see purol shipper im cancel order buy thing elsewher horribl compani,847,137,5.189781021897811,0,-0.13933080808080808,neutral
Marc Lavoie,1,pick ok reason drive hour round trip help daughter pick packag could complet deliveri even though took day home told would deliv pleas larg packag exercis bike would wager contractor either didnt equip move thing safe couldnt bother,232,38,5.131578947368421,0,0.26666666666666666,positive
Marcus Saldanha,1,servic best read mari blume review sum issu ladi work day went give attitud top,79,15,4.333333333333333,0,0.75,positive
Kristina Amja,1,bad servic help return packag purol prepaid offer pack servic refus find solut packag item strongli dont suggest,112,18,5.277777777777778,0,-0.6999999999999998,negative
ofelia Sanchez Fernandez,5,last year compani buffalo david bitton operatio purol say year experienc well organis punctual servic purol mention name gabriel maintain extraordinari servic repres purol delay even miss occur side realli appreci purol employe futur also seek well maintain servic,264,39,5.794871794871795,1,0.0,neutral
Aminata,1,peopl never job right deliv packag without even knock door leav notic wrong date adress call custom care make promis stick dont even know compani bother work woooooorssssst,172,28,5.178571428571429,0,-0.10714285714285715,neutral
Nathan Locke,1,zero account horribl servic got notif pick packag get im told someon els alreadi pick meanwhil nobodi know comput screen wast hour saturday couldnt even regist complaint refer websit worst servic ever,200,32,5.28125,0,-0.65,negative
Patrick Modafferi,1,note left wrong date time wrong oper hour write readabl driver show random time list track info wasnt bad enough gave packag someon claim id hard believ refus help way sent go polic suspici would use locat circumst,214,38,4.657894736842105,0,-0.3559523809523809,negative
Mario Wu,1,terribl servic ship packag custom kingston item tk show deliv found call trace packag repli deliev right address see proof track number noth lost ship compani without valid proof tell luck photo amazon word deliv fault ask signatur joke,236,39,5.076923076923077,0,0.2857142857142857,positive
Radha Canada,1,custom servic joke probabl answer call make note complaint make paper boat best thing cours close close custom servic depart,124,20,5.25,0,0.35,positive
E J,1,suppos get second deliveri yesterday first deliveri instruct driver drop mail room said give hand hand strang sinc receiv amazonsomeon call back day later call call sender follow suppos deliv hour later track packag say readi pick vill stpierr minut live spend lot time phone someon ship least offic close live wish good luck,325,54,5.037037037037037,0,0.10252525252525252,neutral
jesus varela,1,never follow instruct deliveri alway bad shape cant recommend serious joke,74,11,5.818181818181818,0,-0.5166666666666666,negative
J X,1,also share bad servic deliveri attempt updat track info put someth unbeliev excus like unabl deliveri due road closur everyon affect bad servic right request packag return sender that way realli answer us reimburs deliveri fee ask sender use compet deliveri compani,265,42,5.333333333333333,0,-0.30982142857142847,negative
Anne Erta,2,oh boy purol complic seem like give hard time receiv went place twice help almost return item compani tell never never use purol disappoint parcel put locker call compani complic agent answer phone help zero rate give zero name compani delay,241,41,4.902439024390244,0,-0.2916666666666667,negative
Shengyue He,1,speechless awe origin post within hour owner respond text ok bear fair particular depot decent wait time staff etc wors similar servic pickup depot howev sinc undeliv parcel rout becom natur target frustrat deal purol year promot overreach question deliveri success rate low compar shipper someon clearli home never ring bell heard driver even tri compani polici dump everyth depot instead especi depot special easi reach last shipment deliv sortof schedul one total disast iron actual deliv day loss investig start appar truck driver made fals claim parcel deliv correct address time caus seller purol hour fix ask seller guy engag purol couldnt answer,653,104,5.288461538461538,0,0.19913419913419916,neutral
Dinesh Kumar,1,possibl would give experi zero star receiv messag state deliveri attempt fail instruct search deliveri notic howev receiv buzzer call phone call find deliveri notic astonish could overlook deliveri may import timesensit eas,223,33,5.787878787878788,0,-0.5,negative
Louiza Z.,1,could put put attempt deliveri tuesday wednesday friday home day wait packag tuesday fake attempt deliveri made request go collect packag sinc chanc get guess wednesday receiv messag tell packag way guess anoth fake deliveri attempt today friday guess anoth fail attempt shame purol one experi yet see improv,308,49,5.3061224489795915,0,-0.5,negative
yaya,1,avoid cost friend order new zelda game even paid express ship could receiv birthday good time around pm tell put attempt deliveri pass home day attempt locat middl nowher bare access transit let alon foot cost uber go back forth deliveri worker even bother attempt deliveri default locat complic get friend wast money express ship end pay game meant gift aw compani manag,371,63,4.904761904761905,0,0.014393939393939376,neutral
Rodolfo Delperras,1,worst compani ever work tri fast deliveri lier also custom servic worst ever seen dont tri help want head everyon avoid servic even move new york go dont wait citi canada worst ever pleas guy read comment page custom give remov compani market realli disrespect peopl dont care think shame ceo director sleep instead honor custom pleas contact sue court thank,358,61,4.885245901639344,0,-0.5327272727272727,negative
Val Michailov,1,ignor disrespect irrespons peopl purol ship packag there certainti run deliveri misfortun deal purol non deliv never driver give call knock door leav notic live downtown montreal multi storey build there liter singl option miss deliveri guy purpos lack train compani valu reckless coincid time consist purol fail fulfil oblig manag keep prove client comfort least prioriti recommend everi custom place order merchant specif ask deliveri made anyon purol work bestbuy amazon bell specif ask checkout,498,76,5.565789473684211,0,-0.2212121212121212,negative
Nathan,1,review expert ship purol although return carrier purol return amazon packag guy busi line said leav figur would trust guy busi ive shoe big mistak still havent gotten refund week guess guy kept packag,200,34,4.911764705882353,0,0.0,neutral
Oli ver,1,alway late sometim dont job suppos receiv packag requir signatur leav packag front door without notif,101,16,5.375,0,-0.3,negative
Alexandre Willame,1,use illeg charg practis take zero respons damag loos packag rude client unprofession avoid place go dhl store next beaubien metro one next mcgill metro downtown up store next sherbrook metro altern make pay packag drop even ship alreadi paid use drop packag never charg girl told charg per packag ask show rule told check websit found noth websit ask show first rude would explain chose charg never past call manag told manag told per packag rule nowher found websit give per lost time end agre propos made lot packag time pay charg say favor total ignor told would handl packag end accept surcharg lack time close time also got back home realiz wrote receipt respons loss damag packag handl basic give free pass whatev want packag dont like face whatev would never agre leav valuabl packag would knew beforehand certainli paid surcharg take care packag,853,146,4.8493150684931505,0,0.015909090909090914,neutral
Linda Morin,3,excel experi today person counter howev gave star receiv email yesterday state deliveri could made nobodi home fals work home receptionist sign packag sick accid total understand lie differ stori rent car pick packag first time happen,234,37,5.351351351351352,0,-0.15476190476190477,neutral
Marie-Claude Breton,2,wait deliveri today regist avoid miss deliveri track packag sm notif even though new id home day doorbel never rang receiv sm thought id check deliveri statu see delay transit due miss connect pm meanwhil ive home day wait packag chat ai useless call toll free get ai ask speak human person see could pick parcel purol centr instead wait anoth deliveri attempt monday wait minut hung hope deliv monday home wait side note see mani neg comment open hour think pm week day decent hour,482,86,4.616279069767442,0,0.011147186147186147,neutral
Gurl Gates,1,doesnt ask want packag left doorstep ruin effect order preorder cant read deliveri notic handwrit horribl open hour horribl wont abl pick packag known wouldv never order compani ship purol ai also useless,204,33,5.212121212121212,0,-0.16666666666666666,neutral
MAISON DES VALISES,1,ask compani pleas stop make delveri courier receiv call buzzer open door downstairsh said delveri told th floor besid went saw put note pick worst ever experi happen time garbag courier compani respect,201,33,5.121212121212121,0,-0.5,negative
Alexandr Constantinov,1,never correct address correct telephon number present home pass indic track packag recipi inaccess,98,14,6.071428571428571,0,0.0,neutral
Nerella Collot,1,open hr better go bureau en gro,31,7,3.5714285714285716,0,0.25,positive
Exclusively Cris,1,sigh kind turn around min,25,5,4.2,0,0.6,positive
Aquatic Chicken,1,say h close pm ish bewar went close go outdoor dropbox near cosmodom instead learnt hard way,92,17,4.470588235294118,0,-0.09583333333333334,neutral
Caro,1,compani paid crminal governmentpushijg poison inject employe kill proven work said wasnt even test never use garbag compani alreadi servic good,143,21,5.857142857142857,0,0.7,positive
Keven Clment,1,could leav could left packag side walk front app note said work home call didnt care custom care money worst deliveri ever ill ask refund amazonr everi time see,160,29,4.551724137931035,0,-0.5,negative
ronald arsenault,1,terribl servic someon deliveri site residenti door bell never rang left sticker door went pick show driver licens name differ address email invoic track number purchas notic left door would give packag address licens differ deliveri site ship address driver licens,264,41,5.463414634146342,0,0.0,neutral
Chia Fan Hsu,1,worst experi ever order amazon first time tri deliv home messag show tri deliv didnt happen contact amezon day said go deliv next day never happen wait whole day phone call email text messag product need import event noth,221,39,4.6923076923076925,0,-0.1375,neutral
Incineroar,1,home noon dog alway bark doorbel ring doorbel ring left around check mail see deliveri slip return home pm return home deliveri slip date go middl heatwav go get import legal document need go across whole dang island deal recent deceas father estat isnt first time mess deliveri easili stress time theyv done deal estat issu year final go dig recent deceas father paperwork look everyth need horribl horribl experi,414,70,4.928571428571429,0,0.059375000000000004,neutral
abe hirrino,1,order someth amazon suppos receiv next day didnt receiv item call purol answer check amazon told lost two day later receiv call purol tell come pick item vill danjou ask person deliv item work said okay next day receiv anoth call inform cost chang address said free charg pick store saint laurent street fine went store track number doesnt exist comput think deliveri guy didnt even bother job,393,68,4.794117647058823,0,0.21944444444444444,positive
Evelyn Kraneck,1,never good experi purol last time even worst didnt left notic tri deliv packag address later consult track number figur theyd sent packag counter pick distribut center rememb notic address guess day sent back packag sender headach work recommend,245,39,5.3076923076923075,0,-0.20714285714285716,negative
Mostapha El Shafey,1,extrem unprofession compani custom servic alway shift blame driver alway claim dont know driver didnt deliv packag conveni never actual attempt deliveri confirm day tell come pick packag warehous two hour away im start think compani scam take money deliveri servic tell go pick packag unbeliev still busi,304,48,5.354166666666667,0,0.0,neutral
Kevin Parker,5,great ive sent receiv packag without issu sure peopl complain dont jump hoop back yard,86,15,4.8,1,0.43333333333333335,positive
Abram Sez,1,never success receiv packag purol first attempt even though almost alway home deliveri slip left want drive hour go pick absolut ridicul stop buy retail use alway end huge hassl,177,30,4.933333333333334,0,0.12500000000000003,neutral
Julien,1,terribl servic truck door counterweight broken nearli broke back open didnt care everi singl staff rude soviet bureaucrat,121,18,5.777777777777778,0,-0.175,neutral
Tidjani Faradj,1,offic even real packag got sent anjou instead,45,8,4.75,0,0.2,positive
Chris Tirtirau,1,paid packag deliv purol week later get notic say packag deliv although deliveri signatur hr later notic onlin attent alert say go pick depot worst deliveri servic canada one star gener dont option zero star,206,35,4.914285714285715,0,-0.3333333333333333,negative
Florin Gheorghe,2,posibl charg packag less kg sent worth around make sens crazi dsappoint,71,12,5.0,0,0.06666666666666667,neutral
Billy Joe Aggabao,1,deliveri guy dial deliveri realli go insid deliveri work home guy realli want deliv packag instead left note vaudreuil dorion area get better deliveri driver,157,25,5.32,0,0.25,positive
Nicolas Bouchard Coombs,2,current four four deliveri purol driver never bother attempt deliveri one fresh snowfal track anywher driver four time four leav note would recommend purol anyon encount amazon fedex intelcom up canada post despit canada post purol last check manag parent compani alway least made token effort deliv parcel depot pretti way see hour chang even open pain receiv parcel first place pick depot pain alreadi give two star rather one problem employe pickup counter could see face far first voic complaint driver,506,82,5.182926829268292,0,0.03333333333333333,neutral
France Miron,1,wait day urgent packag arriv pm decid check statu onlin saw attempt deliveri receiv unavail im work home definit didnt come worst thing say check notic well isnt obvious frustrat get better driver actual job vaudreuildorion area first time happen dont know get urgent packag,274,45,5.111111111111111,0,-0.05,neutral
Barry McGarr,1,worst servic next day deliveri pm tracker said deliveri pm still show call said would tomorrow day ask tri blame sender truck pm top tri went back tracker system chane statu deliveri delay call time track still said deliveri lie sketchi custom servic dont care dont trust import packag need time,295,51,4.803921568627451,0,-0.125,neutral
Kromad Inc.,1,worst deliveri compani worst custom servic id advis anyon find carrier servic avail select purol zero star option even star much ive never angri compani year exist leav countri winter order packag overnight deliveri yet purol matter much pay ship make happen day wait packag never end receiv lost money top call custom servic use live chat option theyr respons im sorri feel way avoid cost,389,66,4.909090909090909,0,-0.1606060606060606,neutral
Serge Ma,3,packag dropoff locat purol mainten center open public,53,8,5.75,0,-0.03333333333333333,neutral
Mike Porcelli,1,utterli horribl cm snow day weather delay next day sunni plu weather delay basic driver doesnt feel like carri box wont get deliveri see might stair box weigh lb wont get deliveri compani buy ontario activ look replac custom apathi reason hack still busi,254,44,4.795454545454546,0,0.0,neutral
Daniel Lu,1,never ever ever deliv home courier deliv problem make sure forward messag great job,83,14,5.0,0,0.65,positive
Simon Archambault,1,paid extra express ship import parcel deliveri guy came door packag use bell left fast came like ninja drive packag back warehous far away close weekend poor deliveri ethic opinion recommend purol profession deliveri courrier servic,232,36,5.472222222222222,0,-0.016666666666666663,neutral
Raphael Ribeiro Freitas,1,worst deliveri compani ever packag suppos deliv week ago heavyweight keep postpon contact multipl time say deliveri happen coupl day week noth deliv stay away compani,166,26,5.423076923076923,0,-1.0,negative
Emma Elliott,1,terribl custom servic good luck get parcel receiv assist dont,61,10,5.2,0,0.7,positive
Francois Guindon,5,took time help track pacag even call accid,42,8,4.375,1,0.0,neutral
Claude H.,5,locat excel servic one stsauveur,32,5,5.6,1,0.0,neutral
Dora Michel,1,peopl dont show ask come pick pick point share ga know time amazon send packag dont come dont find notic alway problem realli play sneaki game right realli get anxiou time amazon choos carrier,192,34,4.676470588235294,0,-0.05714285714285716,neutral
Shift K,1,decid deliv address somewhat big packag pc monitor sai apart number wasnt ship slip print went pick packag found purpos hid apart number new slip apt number remov origin one everyth excus deliv bruh,198,34,4.852941176470588,0,0.24545454545454545,positive
Yaw Row,1,easi send messag problem deliveri pleas come pick offic must drive min pick parcel see im one,93,17,4.529411764705882,0,0.0,neutral
Tammy parent,1,walk even china cuba cuba cuba nobodi know job nobodi want job everybodi get paid job though didnt get paid day didnt didnt supplement anyth theyr fault wage,157,28,4.642857142857143,0,0.0,neutral
Hajira Syed,1,avoid ship purol cost understand ship delay updat track number day custom servic cant tell packag deliv that bad servic know exactli packag wont let go pick arent one run busi ruin client relationship servic cant deliv time pay extra money worth up close price sometim even cheaper way better servic,299,51,4.882352941176471,0,0.025000000000000036,neutral
Demetri Babalis,5,twice use outlet purol need time staff help refreshingli effici huge thank two staff member help us,99,17,4.882352941176471,1,0.4000000000000001,positive
aderemi Ajibola,5,employe polit patient dilig point attend parcel label document within two minut,79,12,5.666666666666667,1,0.0,neutral
Carine A,5,profession dedic custom servic team alway receiv great servic,61,9,5.888888888888889,1,0.8,positive
Sami Al-Khudri,5,employe offic polit quick servic,32,5,5.6,1,0.3333333333333333,positive
Richard Proulx,3,good experi last coupl great,28,5,4.8,0,0.5,positive
Lisa Traversy,1,item ship locat app vint turn site close item ship half way across island anjou car go get thank leav option ship purol,119,23,4.217391304347826,0,-0.16666666666666666,neutral
Steven Bjerke,4,good concept drop pick purol packag employe window friendli courteou might conveni park place mili gamelin outsid berri vacant time year,136,21,5.523809523809524,1,0.7,positive
Chantal Forget,4,problem cant see street sign indic find good servic adequ mobil front corner st hubert berri hidden larg contain,112,19,4.947368421052632,1,0.26666666666666666,positive
Ambre Thomas,1,unabl retriev packag close dont know im go get super packag back,64,12,4.416666666666667,0,0.16666666666666666,neutral
Jacques Riopel,2,interest construct critic locat counter servic area larg busi hamster store,75,11,5.909090909090909,0,0.0,neutral
fabian prendergast,4,great servic,12,2,5.5,1,0.8,positive
Lisandro Campanha,5,servic rapid,12,2,5.5,1,0.0,neutral
Dany D,5,fast servic,11,2,5.0,1,0.2,positive
E Morin,5,everi time ive gentleman counter help effici,44,7,5.428571428571429,1,0.0,neutral
Aicha Bkhadda,1,would give zero star wouldi wait packag deliv week attempt deliv call notifi mei better get packag paid lot im right mind wait longer ive call mani assist told packag would deliv hadnt deliv weeki disappoint custom servic guy know better,237,41,4.804878048780488,0,0.42857142857142855,positive
MissRaccoon3,1,deliverman nice drop parcel amazon wrong addressth pictur took clearli show well nobodi complainthey continu poor job amazon lost money refund avoid purol,154,23,5.739130434782608,0,-0.10000000000000002,neutral
Eric Ghazarian,1,place close drove noth remov googl map dec,42,8,4.375,0,0.0,neutral
Leona Mbonyingingo,1,answer,6,1,6.0,0,0.0,neutral
AB Mahmud,5,good servic,11,2,5.0,1,0.7,positive
Michelle L,5,easi,4,1,4.0,1,0.0,neutral
Nicolas Anid (Nick710),1,mislead,7,1,7.0,0,0.0,neutral
Arkadi Romijn,5,great servic recept come purol also busi friendli knowledg experienc health food store highli recommend combin drop offpickup chanc shop,136,20,5.85,1,0.8,positive
Shannon Zuniga,1,worst deliveri compani ever twice claim tri deliv packag day home tri reach someon phone number exercis futil would strongli advis stay away compani,148,24,5.208333333333333,0,-1.0,negative
Den,1,never gone cant leav packag,27,5,4.6,0,0.0,neutral
Mark Cairns,5,simpl fast purol ship,21,4,4.5,1,0.2,positive
S H,4,help,4,1,4.0,1,0.0,neutral
I K,5,easi drop packag,16,3,4.666666666666667,1,0.0,neutral
julia,1,terribl servic said attempt deliveri call knock home day end warehous although inconveni came wouldnt give packag atm im unabl pick call mani time wait mani hour attempt second deliveri noth im stress want packag could cri dont know,232,39,4.9743589743589745,0,0.0,neutral
B L,1,deliveri person pembina fraudul report attempt deliveri attempt deliveri leav notic custom door packag return sender start order fraud held urgent materi hostag due lazi driver phone pembina hide number dont deal problem driver caus call get annoy record voic send viciou circl use fedex updat oh boy custom servic tell packag depot arriv today deliveri guy lazi yet buzz leav deliveri note go geniu probabl spend day starbuck home watch tv dump packag depot updat bank end unfortun use purol th time week attempt deliveri contact use fedex,540,89,5.078651685393258,0,-0.125,neutral
Muxin Wang,5,stuff one wholesom person ever met nice even help pack parcel smaller size save money,85,15,4.733333333333333,1,0.3,positive
Onyi Zubby,1,star terribl experi ever deliveri compani hope compani use deliv packag disregard deliveri servic use competitor avoid put valuabl custom horribl experi stress condit two item sent wpg purol suppos receiv packag thursday item came two differ track number per track one sent thursday wait day deliveri attempt updat track info onlin deliveri driver attempt deliveri receiv unavail come pick deliveri notic left notifi onlin track wherea second order deliv next day today friday stori first order attempt deliveri receiv unavail sit lobbi wait packag whole day one show serious phone call buzzerdoorbel ring call custom servic phone get hold anoth task long wait time greater min get agent drive min pickup monday close weekend wast time money ga tri time weather could avoid deliveri driver job profession dilig deliveri driver sure job correctli lackadais jobduti hand deliveri notic fail attempt reoccur custom well purol look someth asap,939,148,5.351351351351352,0,0.056666666666666664,neutral
Soma Verma,5,pembina locat fast servic help employe gurleen ladi alway morn wish knew name fantast friendli offer help best custom servic got question answer differ applic drop reason form came back make visit locat everi time got best servic help friendli staff best suggest save address book made work way easier visit prefer locat drop off thump awesom ladi deserv star thank much,370,62,4.983870967741935,1,0.5666666666666668,positive
Jeffrey Hammond,1,fri juli pm inconsider driver winnipeg park illeg wrong side street fleet avenu would move van finish deliveri impolit block traffic unimpress,142,22,5.5,0,-0.5,negative
Marc Fontaine,1,firmli believ arent even tri deliv packag anymor ive home day straight practic sit door constantli activ check track inform receiv singl knock door sort phone call alert sort human person outsid suddenli minut later im unavail receiv packag,240,39,5.17948717948718,0,0.06666666666666667,neutral
Deborah peeters,1,sound like purol becom terribl compani reli day hire peopl minimum wage case bring worker dont care peopl preciou item buy hard earn cash ive never point ever problem howev read neg review compani last use post offic instead packag today cancel busi account well dont want ever take chanc lose packag tell truth recal packag ive wait ive never receiv bet sent store order decemb last year use purol bet said deliv never got yep thank everyon feed back purol deb,461,82,4.634146341463414,0,0.021666666666666667,neutral
Parmeet Sidhu,5,great servic send return packag quick everi time,48,8,5.125,1,0.5666666666666667,positive
Xi Dongguo,2,worst deliveri experi ever life forc sign inexpens packag im home chang anoth time possibl pick guy pickup spot friendli help tho,129,22,4.909090909090909,0,-1.0,negative
moises rodrguez,4,last time attend help guess experi depend work given day,56,10,4.7,1,0.0,neutral
